geo country;time;new vehicle registrations
Austria;1976;282068
Austria;1977;282071
Austria;1978;282285
Austria;1979;281614
Austria;1980;281324
Austria;1981;281615
Austria;1982;282762
Austria;1983;282020
Austria;1984;281850
Austria;1985;281984
Austria;1986;282115
Austria;1987;282343
Austria;1988;282472
Austria;1989;276065
Austria;1990;288636
Austria;1991;303723
Austria;1992;320094
Austria;1993;285162
Austria;1994;273663
Austria;1995;279610
Austria;1996;307671
Austria;1997;275001
Austria;1998;295865
Austria;1999;314182
Austria;2000;309427
Austria;2001;293528
Austria;2002;279493
Austria;2003;300121
Austria;2004;311292
Austria;2005;309943
Austria;2006;308594
Austria;2007;298182
Austria;2008;293697
Austria;2009;319403
Austria;2010;328563
Austria;2011;356145
Austria;2012;336010
Austria;2013;319035
Austria;2014;303318
Austria;2015;308555
Austria;2016;329604
Austria;2017;353320
Austria;2018;341068
Austria;2019;329363
Austria;2020;248740
Austria;2021;239803
Belgium;1976;374340
Belgium;1977;390783
Belgium;1978;407226
Belgium;1979;423668
Belgium;1980;401611
Belgium;1981;352613
Belgium;1982;346303
Belgium;1983;341243
Belgium;1984;354051
Belgium;1985;361948
Belgium;1986;397156
Belgium;1987;408879
Belgium;1988;430520
Belgium;1989;443963
Belgium;1990;478219
Belgium;1991;462125
Belgium;1992;466195
Belgium;1993;375409
Belgium;1994;387348
Belgium;1995;358868
Belgium;1996;397359
Belgium;1997;396240
Belgium;1998;452129
Belgium;1999;489621
Belgium;2000;515204
Belgium;2001;488683
Belgium;2002;467569
Belgium;2003;458796
Belgium;2004;484757
Belgium;2005;480088
Belgium;2006;526141
Belgium;2007;524795
Belgium;2008;535947
Belgium;2009;476164
Belgium;2010;547347
Belgium;2011;572211
Belgium;2012;486737
Belgium;2013;486065
Belgium;2014;482939
Belgium;2015;501066
Belgium;2016;539519
Belgium;2017;546558
Belgium;2018;549632
Belgium;2019;550003
Belgium;2020;431491
Belgium;2021;383123
Switzerland;1976;288790
Switzerland;1977;287102
Switzerland;1978;286841
Switzerland;1979;287153
Switzerland;1980;280452
Switzerland;1981;291066
Switzerland;1982;290890
Switzerland;1983;273886
Switzerland;1984;267488
Switzerland;1985;265467
Switzerland;1986;300170
Switzerland;1987;303302
Switzerland;1988;319406
Switzerland;1989;338969
Switzerland;1990;322974
Switzerland;1991;310193
Switzerland;1992;286289
Switzerland;1993;256917
Switzerland;1994;265892
Switzerland;1995;267975
Switzerland;1996;272214
Switzerland;1997;270625
Switzerland;1998;295165
Switzerland;1999;314691
Switzerland;2000;314482
Switzerland;2001;314580
Switzerland;2002;293034
Switzerland;2003;269711
Switzerland;2004;267476
Switzerland;2005;260682
Switzerland;2006;269748
Switzerland;2007;283972
Switzerland;2008;287971
Switzerland;2009;266478
Switzerland;2010;296597
Switzerland;2011;327955
Switzerland;2012;334045
Switzerland;2013;310154
Switzerland;2014;304083
Switzerland;2015;327143
Switzerland;2016;319331
Switzerland;2017;315032
Switzerland;2018;300887
Switzerland;2019;312902
Switzerland;2020;238664
Switzerland;2021;242263
Czech Republic;1976;133755
Czech Republic;1977;134614
Czech Republic;1978;135367
Czech Republic;1979;136080
Czech Republic;1980;136699
Czech Republic;1981;136395
Czech Republic;1982;136603
Czech Republic;1983;136772
Czech Republic;1984;136843
Czech Republic;1985;136940
Czech Republic;1986;137026
Czech Republic;1987;137076
Czech Republic;1988;137161
Czech Republic;1989;137287
Czech Republic;1990;137314
Czech Republic;1991;136552
Czech Republic;1992;136657
Czech Republic;1993;84423
Czech Republic;1994;90765
Czech Republic;1995;112104
Czech Republic;1996;153962
Czech Republic;1997;171548
Czech Republic;1998;141155
Czech Republic;1999;146170
Czech Republic;2000;148685
Czech Republic;2001;152141
Czech Republic;2002;147754
Czech Republic;2003;149546
Czech Republic;2004;125768
Czech Republic;2005;127376
Czech Republic;2006;123987
Czech Republic;2007;132542
Czech Republic;2008;143661
Czech Republic;2009;161659
Czech Republic;2010;169236
Czech Republic;2011;173282
Czech Republic;2012;174009
Czech Republic;2013;164736
Czech Republic;2014;192314
Czech Republic;2015;230857
Czech Republic;2016;259693
Czech Republic;2017;271595
Czech Republic;2018;261437
Czech Republic;2019;249915
Czech Republic;2020;202971
Czech Republic;2021;206876
Spain;1976;926376
Spain;1977;936241
Spain;1978;945644
Spain;1979;954448
Spain;1980;962469
Spain;1981;969903
Spain;1982;976255
Spain;1983;981622
Spain;1984;985816
Spain;1985;989809
Spain;1986;992988
Spain;1987;995742
Spain;1988;998152
Spain;1989;999975
Spain;1990;988170
Spain;1991;886983
Spain;1992;982044
Spain;1993;743901
Spain;1994;909682
Spain;1995;834369
Spain;1996;910928
Spain;1997;1016383
Spain;1998;1192530
Spain;1999;1406246
Spain;2000;1381256
Spain;2001;1425573
Spain;2002;1331877
Spain;2003;1382109
Spain;2004;1517286
Spain;2005;1528877
Spain;2006;1634608
Spain;2007;1614835
Spain;2008;1161176
Spain;2009;952772
Spain;2010;982015
Spain;2011;808051
Spain;2012;699589
Spain;2013;722689
Spain;2014;855308
Spain;2015;1034232
Spain;2016;1147009
Spain;2017;1234932
Spain;2018;1321437
Spain;2019;1258249
Spain;2020;851210
Spain;2021;859482
France;1976;1605830
France;1977;1729350
France;1978;1852870
France;1979;1976391
France;1980;1873202
France;1981;1834646
France;1982;2056490
France;1983;2017617
France;1984;1757673
France;1985;1766328
France;1986;1911521
France;1987;2105180
France;1988;2217149
France;1989;2274307
France;1990;2309130
France;1991;2031274
France;1992;2105700
France;1993;1721222
France;1994;1972919
France;1995;1930504
France;1996;2132091
France;1997;1713030
France;1998;1943553
France;1999;2148423
France;2000;2133884
France;2001;2254732
France;2002;2145071
France;2003;2009246
France;2004;2013709
France;2005;2067789
France;2006;2000549
France;2007;2064543
France;2008;2050283
France;2009;2269011
France;2010;2210186
France;2011;2160928
France;2012;1857013
France;2013;1756952
France;2014;1765855
France;2015;1886229
France;2016;1984471
France;2017;2079515
France;2018;2138600
France;2019;2172967
France;2020;1631178
France;2021;1633180
Hungary;1976;167923
Hungary;1977;168767
Hungary;1978;169491
Hungary;1979;169936
Hungary;1980;170105
Hungary;1981;170158
Hungary;1982;170128
Hungary;1983;169957
Hungary;1984;169617
Hungary;1985;169278
Hungary;1986;169002
Hungary;1987;168702
Hungary;1988;168435
Hungary;1989;168185
Hungary;1990;164790
Hungary;1991;164763
Hungary;1992;164771
Hungary;1993;164634
Hungary;1994;164395
Hungary;1995;164184
Hungary;1996;163938
Hungary;1997;163621
Hungary;1998;163279
Hungary;1999;129204
Hungary;2000;134246
Hungary;2001;146870
Hungary;2002;171307
Hungary;2003;206202
Hungary;2004;212076
Hungary;2005;202303
Hungary;2006;182099
Hungary;2007;171793
Hungary;2008;153346
Hungary;2009;60376
Hungary;2010;43496
Hungary;2011;45106
Hungary;2012;53057
Hungary;2013;56157
Hungary;2014;67746
Hungary;2015;77179
Hungary;2016;96594
Hungary;2017;116265
Hungary;2018;136601
Hungary;2019;157906
Hungary;2020;128031
Hungary;2021;121920
Italy;1976;1187621
Italy;1977;1219172
Italy;1978;1194424
Italy;1979;1397039
Italy;1980;1530488
Italy;1981;1808476
Italy;1982;1851174
Italy;1983;1451512
Italy;1984;1572402
Italy;1985;1653217
Italy;1986;1769191
Italy;1987;1929568
Italy;1988;2119193
Italy;1989;2296784
Italy;1990;2283362
Italy;1991;2220321
Italy;1992;2389395
Italy;1993;1695264
Italy;1994;1683652
Italy;1995;1737108
Italy;1996;1723117
Italy;1997;2393607
Italy;1998;2363995
Italy;1999;2322430
Italy;2000;2411990
Italy;2001;2418226
Italy;2002;2302870
Italy;2003;2254317
Italy;2004;2272807
Italy;2005;2244108
Italy;2006;2335462
Italy;2007;2494115
Italy;2008;2161359
Italy;2009;2159924
Italy;2010;1962042
Italy;2011;1749469
Italy;2012;1403263
Italy;2013;1304842
Italy;2014;1360777
Italy;2015;1575954
Italy;2016;1826131
Italy;2017;1971646
Italy;2018;1911056
Italy;2019;1917106
Italy;2020;1381855
Italy;2021;1458313
Norway;1976;82103
Norway;1977;82473
Norway;1978;82800
Norway;1979;83105
Norway;1980;83366
Norway;1981;83641
Norway;1982;83942
Norway;1983;84258
Norway;1984;84500
Norway;1985;84735
Norway;1986;85007
Norway;1987;85341
Norway;1988;85806
Norway;1989;86264
Norway;1990;61901
Norway;1991;54254
Norway;1992;59364
Norway;1993;60822
Norway;1994;85067
Norway;1995;90502
Norway;1996;124994
Norway;1997;127737
Norway;1998;117977
Norway;1999;101278
Norway;2000;97376
Norway;2001;91916
Norway;2002;88721
Norway;2003;89921
Norway;2004;115645
Norway;2005;109907
Norway;2006;109164
Norway;2007;129195
Norway;2008;110617
Norway;2009;98675
Norway;2010;127754
Norway;2011;138345
Norway;2012;137967
Norway;2013;142151
Norway;2014;144202
Norway;2015;150686
Norway;2016;154603
Norway;2017;158650
Norway;2018;147929
Norway;2019;142381
Norway;2020;141405
Norway;2021;176276
Poland;1976;256520
Poland;1977;259095
Poland;1978;261514
Poland;1979;263245
Poland;1980;265740
Poland;1981;268152
Poland;1982;270609
Poland;1983;273133
Poland;1984;275732
Poland;1985;278121
Poland;1986;280200
Poland;1987;281936
Poland;1988;283381
Poland;1989;284284
Poland;1990;285438
Poland;1991;286524
Poland;1992;287470
Poland;1993;288287
Poland;1994;288937
Poland;1995;289506
Poland;1996;289722
Poland;1997;289947
Poland;1998;290102
Poland;1999;290154
Poland;2000;287125
Poland;2001;287055
Poland;2002;286967
Poland;2003;286789
Poland;2004;286580
Poland;2005;207007
Poland;2006;224728
Poland;2007;277427
Poland;2008;319190
Poland;2009;276220
Poland;2010;315855
Poland;2011;277427
Poland;2012;272719
Poland;2013;289913
Poland;2014;327709
Poland;2015;354975
Poland;2016;416123
Poland;2017;486352
Poland;2018;531889
Poland;2019;555598
Poland;2020;428347
Poland;2021;446647
Slovenia;1976;56777
Slovenia;1977;57501
Slovenia;1978;58166
Slovenia;1979;58768
Slovenia;1980;59425
Slovenia;1981;59943
Slovenia;1982;59752
Slovenia;1983;60182
Slovenia;1984;60505
Slovenia;1985;60799
Slovenia;1986;61101
Slovenia;1987;62326
Slovenia;1988;62596
Slovenia;1989;62666
Slovenia;1990;62668
Slovenia;1991;62780
Slovenia;1992;62748
Slovenia;1993;62596
Slovenia;1994;62449
Slovenia;1995;62451
Slovenia;1996;62476
Slovenia;1997;62373
Slovenia;1998;67228
Slovenia;1999;77331
Slovenia;2000;55258
Slovenia;2001;52532
Slovenia;2002;51121
Slovenia;2003;60347
Slovenia;2004;63114
Slovenia;2005;61108
Slovenia;2006;60566
Slovenia;2007;68630
Slovenia;2008;71743
Slovenia;2009;57916
Slovenia;2010;61142
Slovenia;2011;60193
Slovenia;2012;50091
Slovenia;2013;52268
Slovenia;2014;54699
Slovenia;2015;60976
Slovenia;2016;65446
Slovenia;2017;73320
Slovenia;2018;75071
Slovenia;2019;73471
Slovenia;2020;53880
Slovenia;2021;54224
Sweden;1976;193433
Sweden;1977;194086
Sweden;1978;194812
Sweden;1979;195220
Sweden;1980;195664
Sweden;1981;196015
Sweden;1982;196134
Sweden;1983;196239
Sweden;1984;196312
Sweden;1985;196596
Sweden;1986;196961
Sweden;1987;197512
Sweden;1988;198280
Sweden;1989;199335
Sweden;1990;229941
Sweden;1991;188308
Sweden;1992;154173
Sweden;1993;124434
Sweden;1994;156375
Sweden;1995;169756
Sweden;1996;183820
Sweden;1997;225263
Sweden;1998;253430
Sweden;1999;295249
Sweden;2000;290529
Sweden;2001;246581
Sweden;2002;254589
Sweden;2003;261206
Sweden;2004;264246
Sweden;2005;274301
Sweden;2006;282766
Sweden;2007;306799
Sweden;2008;253982
Sweden;2009;213408
Sweden;2010;289684
Sweden;2011;304984
Sweden;2012;279899
Sweden;2013;269558
Sweden;2014;303948
Sweden;2015;345108
Sweden;2016;372318
Sweden;2017;379393
Sweden;2018;353729
Sweden;2019;356036
Sweden;2020;292024
Sweden;2021;301008
United Kingdom;1976;1368912
United Kingdom;1977;1513886
United Kingdom;1978;1658861
United Kingdom;1979;1803834
United Kingdom;1980;1601435
United Kingdom;1981;1573962
United Kingdom;1982;1714426
United Kingdom;1983;1981445
United Kingdom;1984;1935588
United Kingdom;1985;2027375
United Kingdom;1986;2070207
United Kingdom;1987;2214569
United Kingdom;1988;2435677
United Kingdom;1989;2535423
United Kingdom;1990;2053790
United Kingdom;1991;1627880
United Kingdom;1992;1629182
United Kingdom;1993;1818135
United Kingdom;1994;1953601
United Kingdom;1995;1988803
United Kingdom;1996;2070675
United Kingdom;1997;2219194
United Kingdom;1998;2297584
United Kingdom;1999;2246684
United Kingdom;2000;2271276
United Kingdom;2001;2643723
United Kingdom;2002;2742018
United Kingdom;2003;2705138
United Kingdom;2004;2657112
United Kingdom;2005;2498013
United Kingdom;2006;2392292
United Kingdom;2007;2443446
United Kingdom;2008;2159155
United Kingdom;2009;2012200
United Kingdom;2010;2040899
United Kingdom;2011;1950000
United Kingdom;2012;2055723
United Kingdom;2013;2274764
United Kingdom;2014;2492784
United Kingdom;2015;2661020
United Kingdom;2016;2723774
United Kingdom;2017;2564330
United Kingdom;2018;2394042
United Kingdom;2019;2346576
United Kingdom;2020;1656403
United Kingdom;2021;1677245
