country label;Country;stock year;Source-Institution;Source-Title;Source-Link
AUT;Austria;2021;Statistik Austria;Registration of new motor vehicles 1990 to 2022, 2023;https://www.statistik.at/en/statistics/tourism-and-transport/vehicles/registration-of-new-motor-vehicles
BEL;Belgium;2021;FEBIAC;8.a Evolution des immatriculations de voitures neuves et d'occasion;http://www.febiac.be/public/statistics.aspx?FID=23
BGR;Bulgaria;2021;ACEA;Passenger car registrations in europe 1990- 2021, by country;https://www.acea.auto/figure/passenger-car-registrations-in-europe-since-1990-by-country/
CHE;Switzerland;2021;FSO Switzerland;Neue Inverkehrsetzungen von Strassenfahrzeugen nach Kantonen und technischen Merkmalen T0-1;https://www.bfs.admin.ch/bfs/en/home/statistics/mobility-transport/transport-infrastructure-vehicles/vehicles/road-new-registrations.assetdetail.20884460.html
CYP;Cyprus;2021;Cystat;registrations of motor vehicles- passenger saloon cars; https://cystatdb.cystat.gov.cy/pxweb/en/8.CYSTAT-DB/8.CYSTAT-DB__Services__Road%20Transport,%20Motor%20Vehicles%20and%20Road%20Accidents/2230011E.px/
CZE;Czech Republic;2020;SDA;SDA annual reports, 2023;https://portal.sda-cia.cz/clanek.php?id=243&lang=en
DEU;Germany;2021;Kraftfahrt-Bundesamt;Neuzulassungen von Kraftfahrzeugen und Kraftfahrzeuganhängern in den Jahren 1960 bis 2021 nach Fahrzeugklassen;https://www.kba.de/DE/Statistik/Fahrzeuge/Neuzulassungen/FahrzeugklassenAufbauarten/2021/2021_n_fzkl_zeitreihen.html?nn=3524574&fromStatistic=3524574&yearFilter=2021&fromStatistic=3524574&yearFilter=2021
DNK;Denmark;2021;Statistics Denmark;New registration of motor vehicles by type of vehicle and time;https://www.statbank.dk/statbank5a/default.asp?w=1680
ESP;Spain;2021;Expansión;España-Matriculaciones de vehiculos nuevos (new vehicle matriculations);https://datosmacro.expansion.com/negocios/matriculaciones-vehiculos/espana
EST;Estonia;2021;Statistics Estonia;First registrations of vehicles (months)-ts322;https://andmed.stat.ee/en/stat/majandus__transport__registreeritud-liiklusvahendid/TS322
FIN;Finland;2021;Tilastokeskus;First registrations of motor vehicles: First registrations of vehicles, 1960-2021-11 cb;https://statfin.stat.fi/PxWeb/pxweb/en/StatFin/StatFin__merek/statfin_merek_pxt_11cb.px/
