geo country;time;new vehicle registrations
Austria;1970;277954
Austria;1971;278845
Austria;1972;280444
Austria;1973;282105
Austria;1974;283570
Austria;1975;283068
Austria;1976;282068
Austria;1977;282071
Austria;1978;282285
Austria;1979;281614
Austria;1980;281324
Austria;1981;281615
Austria;1982;282762
Austria;1983;282020
Austria;1984;281850
Austria;1985;281984
Austria;1986;282115
Austria;1987;282343
Austria;1988;282472
Austria;1989;276065
Austria;1990;288636
Austria;1991;303723
Austria;1992;320094
Austria;1993;285162
Austria;1994;273663
Austria;1995;279610
Austria;1996;307671
Austria;1997;275001
Austria;1998;295865
Austria;1999;314182
Austria;2000;309427
Austria;2001;293528
Austria;2002;279493
Austria;2003;300121
Austria;2004;311292
Austria;2005;309943
Austria;2006;308594
Austria;2007;298182
Austria;2008;293697
Austria;2009;319403
Austria;2010;328563
Austria;2011;356145
Austria;2012;336010
Austria;2013;319035
Austria;2014;303318
Austria;2015;308555
Austria;2016;329604
Austria;2017;353320
Austria;2018;341068
Austria;2019;329363
Austria;2020;248740
Austria;2021;239803
Austria;2022;0
Belgium;1970;295701
Belgium;1971;308140
Belgium;1972;320579
Belgium;1973;333018
Belgium;1974;345457
Belgium;1975;357897
Belgium;1976;374340
Belgium;1977;390783
Belgium;1978;407226
Belgium;1979;423668
Belgium;1980;401611
Belgium;1981;352613
Belgium;1982;346303
Belgium;1983;341243
Belgium;1984;354051
Belgium;1985;361948
Belgium;1986;397156
Belgium;1987;408879
Belgium;1988;430520
Belgium;1989;443963
Belgium;1990;478219
Belgium;1991;462125
Belgium;1992;466195
Belgium;1993;375409
Belgium;1994;387348
Belgium;1995;358868
Belgium;1996;397359
Belgium;1997;396240
Belgium;1998;452129
Belgium;1999;489621
Belgium;2000;515204
Belgium;2001;488683
Belgium;2002;467569
Belgium;2003;458796
Belgium;2004;484757
Belgium;2005;480088
Belgium;2006;526141
Belgium;2007;524795
Belgium;2008;535947
Belgium;2009;476164
Belgium;2010;547347
Belgium;2011;572211
Belgium;2012;486737
Belgium;2013;486065
Belgium;2014;482939
Belgium;2015;501066
Belgium;2016;539519
Belgium;2017;546558
Belgium;2018;549632
Belgium;2019;550003
Belgium;2020;431491
Belgium;2021;383123
Belgium;2022;0
Bulgaria;1970;30399
Bulgaria;1971;30581
Bulgaria;1972;30735
Bulgaria;1973;30867
Bulgaria;1974;31057
Bulgaria;1975;31282
Bulgaria;1976;31359
Bulgaria;1977;31554
Bulgaria;1978;31686
Bulgaria;1979;31624
Bulgaria;1980;31771
Bulgaria;1981;31880
Bulgaria;1982;31984
Bulgaria;1983;32069
Bulgaria;1984;32144
Bulgaria;1985;32220
Bulgaria;1986;32143
Bulgaria;1987;32203
Bulgaria;1988;32238
Bulgaria;1989;32275
Bulgaria;1990;31487
Bulgaria;1991;31135
Bulgaria;1992;30870
Bulgaria;1993;30473
Bulgaria;1994;30383
Bulgaria;1995;30267
Bulgaria;1996;30113
Bulgaria;1997;29956
Bulgaria;1998;29749
Bulgaria;1999;29559
Bulgaria;2000;29417
Bulgaria;2001;29268
Bulgaria;2002;28260
Bulgaria;2003;28033
Bulgaria;2004;27816
Bulgaria;2005;27613
Bulgaria;2006;32481
Bulgaria;2007;41042
Bulgaria;2008;43758
Bulgaria;2009;24972
Bulgaria;2010;15646
Bulgaria;2011;19252
Bulgaria;2012;20986
Bulgaria;2013;20718
Bulgaria;2014;21186
Bulgaria;2015;24256
Bulgaria;2016;28216
Bulgaria;2017;33265
Bulgaria;2018;37506
Bulgaria;2019;39419
Bulgaria;2020;27214
Bulgaria;2021;24631
Bulgaria;2022;0
Switzerland;1970;281833
Switzerland;1971;282945
Switzerland;1972;284804
Switzerland;1973;287291
Switzerland;1974;289043
Switzerland;1975;290403
Switzerland;1976;288790
Switzerland;1977;287102
Switzerland;1978;286841
Switzerland;1979;287153
Switzerland;1980;280452
Switzerland;1981;291066
Switzerland;1982;290890
Switzerland;1983;273886
Switzerland;1984;267488
Switzerland;1985;265467
Switzerland;1986;300170
Switzerland;1987;303302
Switzerland;1988;319406
Switzerland;1989;338969
Switzerland;1990;322974
Switzerland;1991;310193
Switzerland;1992;286289
Switzerland;1993;256917
Switzerland;1994;265892
Switzerland;1995;267975
Switzerland;1996;272214
Switzerland;1997;270625
Switzerland;1998;295165
Switzerland;1999;314691
Switzerland;2000;314482
Switzerland;2001;314580
Switzerland;2002;293034
Switzerland;2003;269711
Switzerland;2004;267476
Switzerland;2005;260682
Switzerland;2006;269748
Switzerland;2007;283972
Switzerland;2008;287971
Switzerland;2009;266478
Switzerland;2010;296597
Switzerland;2011;327955
Switzerland;2012;334045
Switzerland;2013;310154
Switzerland;2014;304083
Switzerland;2015;327143
Switzerland;2016;319331
Switzerland;2017;315032
Switzerland;2018;300887
Switzerland;2019;312902
Switzerland;2020;238664
Switzerland;2021;242263
Switzerland;2022;0
Cyprus;1970;13051
Cyprus;1971;13155
Cyprus;1972;13287
Cyprus;1973;13472
Cyprus;1974;13601
Cyprus;1975;10784
Cyprus;1976;10617
Cyprus;1977;10611
Cyprus;1978;10620
Cyprus;1979;10690
Cyprus;1980;10786
Cyprus;1981;10925
Cyprus;1982;11149
Cyprus;1983;11187
Cyprus;1984;11334
Cyprus;1985;11481
Cyprus;1986;11613
Cyprus;1987;11747
Cyprus;1988;11869
Cyprus;1989;11999
Cyprus;1990;12212
Cyprus;1991;12521
Cyprus;1992;12860
Cyprus;1993;13205
Cyprus;1994;13497
Cyprus;1995;13763
Cyprus;1996;13996
Cyprus;1997;14209
Cyprus;1998;14399
Cyprus;1999;14562
Cyprus;2000;14725
Cyprus;2001;14875
Cyprus;2002;15045
Cyprus;2003;9145
Cyprus;2004;19650
Cyprus;2005;19210
Cyprus;2006;20344
Cyprus;2007;25107
Cyprus;2008;24213
Cyprus;2009;15945
Cyprus;2010;15062
Cyprus;2011;14665
Cyprus;2012;10967
Cyprus;2013;7047
Cyprus;2014;8271
Cyprus;2015;10078
Cyprus;2016;12468
Cyprus;2017;13118
Cyprus;2018;13126
Cyprus;2019;12601
Cyprus;2020;9995
Cyprus;2021;10611
Cyprus;2022;0
Czech Republic;1970;131276
Czech Republic;1971;129993
Czech Republic;1972;130448
Czech Republic;1973;131075
Czech Republic;1974;131896
Czech Republic;1975;132829
Czech Republic;1976;133755
Czech Republic;1977;134614
Czech Republic;1978;135367
Czech Republic;1979;136080
Czech Republic;1980;136699
Czech Republic;1981;136395
Czech Republic;1982;136603
Czech Republic;1983;136772
Czech Republic;1984;136843
Czech Republic;1985;136940
Czech Republic;1986;137026
Czech Republic;1987;137076
Czech Republic;1988;137161
Czech Republic;1989;137287
Czech Republic;1990;137314
Czech Republic;1991;136552
Czech Republic;1992;136657
Czech Republic;1993;84423
Czech Republic;1994;90765
Czech Republic;1995;112104
Czech Republic;1996;153962
Czech Republic;1997;171548
Czech Republic;1998;141155
Czech Republic;1999;146170
Czech Republic;2000;148685
Czech Republic;2001;152141
Czech Republic;2002;147754
Czech Republic;2003;149546
Czech Republic;2004;125768
Czech Republic;2005;127376
Czech Republic;2006;123987
Czech Republic;2007;132542
Czech Republic;2008;143661
Czech Republic;2009;161659
Czech Republic;2010;169236
Czech Republic;2011;173282
Czech Republic;2012;174009
Czech Republic;2013;164736
Czech Republic;2014;192314
Czech Republic;2015;230857
Czech Republic;2016;259693
Czech Republic;2017;271595
Czech Republic;2018;261437
Czech Republic;2019;249915
Czech Republic;2020;202971
Czech Republic;2021;206876
Czech Republic;2022;0
Germany;1970;2107123
Germany;1971;2106908
Germany;1972;2106693
Germany;1973;2106478
Germany;1974;2106263
Germany;1975;2106048
Germany;1976;2170076
Germany;1977;2234104
Germany;1978;2298132
Germany;1979;2623400
Germany;1980;2426187
Germany;1981;2330335
Germany;1982;2155537
Germany;1983;2426774
Germany;1984;2393939
Germany;1985;2379261
Germany;1986;2829438
Germany;1987;2915654
Germany;1988;2807939
Germany;1989;2831740
Germany;1990;3040783
Germany;1991;3485171
Germany;1992;3929558
Germany;1993;3194204
Germany;1994;3209224
Germany;1995;3314061
Germany;1996;3496320
Germany;1997;3528179
Germany;1998;3735987
Germany;1999;3802176
Germany;2000;3378343
Germany;2001;3341718
Germany;2002;3252898
Germany;2003;3236938
Germany;2004;3266826
Germany;2005;3342122
Germany;2006;3467961
Germany;2007;3148163
Germany;2008;3090040
Germany;2009;3807175
Germany;2010;2916260
Germany;2011;3173634
Germany;2012;3082504
Germany;2013;2952431
Germany;2014;3036773
Germany;2015;3206042
Germany;2016;3351607
Germany;2017;3441262
Germany;2018;3435778
Germany;2019;3607258
Germany;2020;2917678
Germany;2021;2622132
Germany;2022;0
Denmark;1970;108634
Denmark;1971;110054
Denmark;1972;111474
Denmark;1973;112894
Denmark;1974;114314
Denmark;1975;115733
Denmark;1976;118578
Denmark;1977;121423
Denmark;1978;124268
Denmark;1979;127114
Denmark;1980;73961
Denmark;1981;71778
Denmark;1982;85512
Denmark;1983;116346
Denmark;1984;134478
Denmark;1985;157632
Denmark;1986;169492
Denmark;1987;124324
Denmark;1988;88770
Denmark;1989;78453
Denmark;1990;80837
Denmark;1991;83828
Denmark;1992;84518
Denmark;1993;82084
Denmark;1994;138994
Denmark;1995;135712
Denmark;1996;141926
Denmark;1997;152607
Denmark;1998;162238
Denmark;1999;144232
Denmark;2000;113633
Denmark;2001;96114
Denmark;2002;111598
Denmark;2003;96501
Denmark;2004;122543
Denmark;2005;148578
Denmark;2006;156719
Denmark;2007;162481
Denmark;2008;150663
Denmark;2009;112249
Denmark;2010;153614
Denmark;2011;169794
Denmark;2012;168936
Denmark;2013;180643
Denmark;2014;188409
Denmark;2015;206652
Denmark;2016;222473
Denmark;2017;221471
Denmark;2018;218476
Denmark;2019;225619
Denmark;2020;198979
Denmark;2021;186592
Denmark;2022;0
Spain;1970;865587
Spain;1971;877262
Spain;1972;886738
Spain;1973;896847
Spain;1974;906555
Spain;1975;916659
Spain;1976;926376
Spain;1977;936241
Spain;1978;945644
Spain;1979;954448
Spain;1980;962469
Spain;1981;969903
Spain;1982;976255
Spain;1983;981622
Spain;1984;985816
Spain;1985;989809
Spain;1986;992988
Spain;1987;995742
Spain;1988;998152
Spain;1989;999975
Spain;1990;988170
Spain;1991;886983
Spain;1992;982044
Spain;1993;743901
Spain;1994;909682
Spain;1995;834369
Spain;1996;910928
