geo country;time;scenario;new vehicle registrations
Austria;2022;EU-27 CAM scenario proportionally distributed across each EU country;229311,1431
Austria;2023;EU-27 CAM scenario proportionally distributed across each EU country;240925,4371
Austria;2024;EU-27 CAM scenario proportionally distributed across each EU country;252539,7311
Austria;2025;EU-27 CAM scenario proportionally distributed across each EU country;264154,0254
Austria;2026;EU-27 CAM scenario proportionally distributed across each EU country;275768,3192
Austria;2027;EU-27 CAM scenario proportionally distributed across each EU country;287382,6133
Austria;2028;EU-27 CAM scenario proportionally distributed across each EU country;298996,9071
Austria;2029;EU-27 CAM scenario proportionally distributed across each EU country;310611,2015
Austria;2030;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2031;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2032;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2033;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2034;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2035;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2036;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2037;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2038;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2039;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2040;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2041;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2042;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2043;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2044;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2045;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2046;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2047;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2048;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2049;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Austria;2050;EU-27 CAM scenario proportionally distributed across each EU country;322225,4953
Belgium;2022;EU-27 CAM scenario proportionally distributed across each EU country;366360,6088
Belgium;2023;EU-27 CAM scenario proportionally distributed across each EU country;384916,2698
Belgium;2024;EU-27 CAM scenario proportionally distributed across each EU country;403471,9307
Belgium;2025;EU-27 CAM scenario proportionally distributed across each EU country;422027,5921
Belgium;2026;EU-27 CAM scenario proportionally distributed across each EU country;440583,2528
Belgium;2027;EU-27 CAM scenario proportionally distributed across each EU country;459138,9139
Belgium;2028;EU-27 CAM scenario proportionally distributed across each EU country;477694,5745
Belgium;2029;EU-27 CAM scenario proportionally distributed across each EU country;496250,236
Belgium;2030;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2031;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2032;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2033;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2034;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2035;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2036;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2037;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2038;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2039;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2040;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2041;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2042;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2043;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
Belgium;2044;EU-27 CAM scenario proportionally distributed across each EU country;514805,8966
