geo country;vehicle age;survival rate
Austria;1;0,926723185
Austria;2;0,947937606
Austria;3;0,960205002
Austria;4;0,97292622
Austria;5;0,992012906
Austria;6;0,996225774
Austria;7;0,978029849
Austria;8;0,939380452
Austria;9;0,898111492
Austria;10;0,871015744
Austria;11;0,821727106
Austria;12;0,763603936
Austria;13;0,731164078
Austria;14;0,683486723
Austria;15;0,613403894
Austria;16;0,518739833
Austria;17;0,442936282
Austria;18;0,38032137
Austria;19;0,327887752
Austria;20;0,268911923
Austria;21;0,212262544
Austria;22;0,170269563
Austria;23;0,133269888
Austria;24;0,10001521
Austria;25;0,107603245
Austria;26;0,09617741
Austria;27;0,105829548
Austria;28;0,108129342
Austria;29;0,103769086
Austria;30;0,092444719
Austria;31;0,09742759
Austria;32;0,102520129
Austria;33;0,03525619
Austria;34;0
Austria;35;0
Austria;36;0
Austria;37;0
Austria;38;0
Austria;39;0
Austria;40;0
Austria;41;0
Austria;42;0
Austria;43;0
Austria;44;0
Austria;45;0
Belgium;1;0,970328067
Belgium;2;0,951600381
Belgium;3;0,923251328
Belgium;4;0,899569166
Belgium;5;0,822866009
Belgium;6;0,746236926
Belgium;7;0,681057984
Belgium;8;0,643890843
Belgium;9;0,601252919
Belgium;10;0,561153148
Belgium;11;0,528485122
Belgium;12;0,463932387
Belgium;13;0,419160205
Belgium;14;0,34066055
Belgium;15;0,302878267
Belgium;16;0,2673903
Belgium;17;0,222686258
Belgium;18;0,190237583
Belgium;19;0,149055354
Belgium;20;0,118654145
Belgium;21;0,08611513
Belgium;22;0,071903557
Belgium;23;0,056314986
Belgium;24;0,04311159
Belgium;25;0,033403998
Belgium;26;0,025367489
Belgium;27;0,019943266
Belgium;28;0,017498477
Belgium;29;0,01663519
Belgium;30;0,024594858
Belgium;31;0,02649716
Belgium;32;0,025208116
Belgium;33;0,022154999
Belgium;34;0,020586732
Belgium;35;0,019957004
Belgium;36;0,021387062
Belgium;37;0,018867351
Belgium;38;0,017551144
Belgium;39;0,018321255
Belgium;40;0,016800316
Belgium;41;0,014820781
Belgium;42;0,0140285
Belgium;43;0,015738739
Belgium;44;0,016136003
Belgium;45;0,015909085
Bulgaria;1;1,43977102
Bulgaria;2;1,303116043
Bulgaria;3;0,899642304
Bulgaria;4;0,945528715
Bulgaria;5;1,066075455
Bulgaria;6;1,860667706
Bulgaria;7;2,164437665
Bulgaria;8;2,478079864
Bulgaria;9;2,534057341
Bulgaria;10;2,501696369
Bulgaria;11;5,086546852
