geo country;time;powertrain;relative sales
Austria;2000;BEV;0
Austria;2001;BEV;0,0002
Austria;2002;BEV;0,0001
Austria;2003;BEV;0,0001
Austria;2004;BEV;0,0002
Austria;2005;BEV;0
Austria;2006;BEV;0
Austria;2007;BEV;0
Austria;2008;BEV;0
Austria;2009;BEV;9,99E-05
Austria;2010;BEV;0,0003
Austria;2011;BEV;0,0018
Austria;2012;BEV;0,001299999
Austria;2013;BEV;0,0021
Austria;2014;BEV;0,004400001
Austria;2015;BEV;0,005499999
Austria;2016;BEV;0,011499999
Austria;2017;BEV;0,0153
Austria;2018;BEV;0,019899999
Austria;2019;BEV;0,028100001
Austria;2020;BEV;0,064100001
Austria;2021;BEV;0,1392
Austria;2022;BEV;0,156999999
Austria;2023;BEV;0,199100001
Belgium;2000;BEV;0
Belgium;2001;BEV;0,0002
Belgium;2002;BEV;0,0001
Belgium;2003;BEV;0,0001
Belgium;2004;BEV;0,0002
Belgium;2005;BEV;0
Belgium;2006;BEV;0
Belgium;2007;BEV;0
Belgium;2008;BEV;0
Belgium;2009;BEV;0
Belgium;2010;BEV;9,99E-05
Belgium;2011;BEV;0,000500334
Belgium;2012;BEV;0,0012
Belgium;2013;BEV;0,000999999
Belgium;2014;BEV;0,0027
Belgium;2015;BEV;0,003200001
Belgium;2016;BEV;0,004100001
Belgium;2017;BEV;0,005300001
Belgium;2018;BEV;0,0072
Belgium;2019;BEV;0,0159
Belgium;2020;BEV;0,0348
Belgium;2021;BEV;0,057399999
Belgium;2022;BEV;0,1032
Belgium;2023;BEV;0,1959
Bulgaria;2000;BEV;0
Bulgaria;2001;BEV;0
Bulgaria;2002;BEV;0
Bulgaria;2003;BEV;0
Bulgaria;2004;BEV;0
Bulgaria;2005;BEV;0
Bulgaria;2006;BEV;0
Bulgaria;2007;BEV;0
Bulgaria;2008;BEV;0
Bulgaria;2009;BEV;0
Bulgaria;2010;BEV;0
Bulgaria;2011;BEV;0
Bulgaria;2012;BEV;0
Bulgaria;2013;BEV;0
Bulgaria;2014;BEV;0
Bulgaria;2015;BEV;0,0006
Bulgaria;2016;BEV;0,000500001
Bulgaria;2017;BEV;0,000500001
Bulgaria;2018;BEV;0,0051
Bulgaria;2019;BEV;0,0057
Bulgaria;2020;BEV;0,012399999
Bulgaria;2021;BEV;0,022400001
Bulgaria;2022;BEV;0,035600001
Bulgaria;2023;BEV;0,048999999
Croatia;2000;BEV;0
Croatia;2001;BEV;0
Croatia;2002;BEV;0
Croatia;2003;BEV;0
Croatia;2004;BEV;0
Croatia;2005;BEV;0
Croatia;2006;BEV;0
Croatia;2007;BEV;0
Croatia;2008;BEV;0
Croatia;2009;BEV;0
Croatia;2010;BEV;0
Croatia;2011;BEV;0
Croatia;2012;BEV;0
Croatia;2013;BEV;0
Croatia;2014;BEV;0,0002001
Croatia;2015;BEV;0,0009
Croatia;2016;BEV;0,000500001
Croatia;2017;BEV;9,99E-05
Croatia;2018;BEV;0,0009
Croatia;2019;BEV;0,001599999
Croatia;2020;BEV;0,014799999
Croatia;2021;BEV;0,030099999
Croatia;2022;BEV;0,030399999
Croatia;2023;BEV;0,028700001
Cyprus;2000;BEV;0
Cyprus;2001;BEV;0
Cyprus;2002;BEV;0
Cyprus;2003;BEV;0
Cyprus;2004;BEV;0
Cyprus;2005;BEV;0
Cyprus;2006;BEV;0
Cyprus;2007;BEV;0
Cyprus;2008;BEV;0
Cyprus;2009;BEV;0
Cyprus;2010;BEV;0
Cyprus;2011;BEV;0
Cyprus;2012;BEV;0
Cyprus;2013;BEV;0
Cyprus;2014;BEV;0
Cyprus;2015;BEV;0
Cyprus;2016;BEV;0,001700001
Cyprus;2017;BEV;0,003699999
Cyprus;2018;BEV;0,002799999
Cyprus;2019;BEV;0,005000001
Cyprus;2020;BEV;0,0042
Cyprus;2021;BEV;0,0075
Cyprus;2022;BEV;0,030999999
Cyprus;2023;BEV;0,053900001
Czech Republic;2000;BEV;0
Czech Republic;2001;BEV;0
Czech Republic;2002;BEV;0
Czech Republic;2003;BEV;0
Czech Republic;2004;BEV;0
Czech Republic;2005;BEV;0
Czech Republic;2006;BEV;0
Czech Republic;2007;BEV;0
Czech Republic;2008;BEV;0
Czech Republic;2009;BEV;0
Czech Republic;2010;BEV;0
Czech Republic;2011;BEV;0,0003
Czech Republic;2012;BEV;0,000501
