geo country;stock_year;powertrain;share
Austria;2008;BEV;0
Austria;2009;BEV;0,0001
Austria;2010;BEV;0,0001
Austria;2011;BEV;0,0002
Austria;2012;BEV;0,0003
Austria;2013;BEV;0,0004
Austria;2014;BEV;0,0007
Austria;2015;BEV;0,0011
Austria;2016;BEV;0,0019
Austria;2017;BEV;0,003
Austria;2018;BEV;0,0042
Austria;2019;BEV;0,0059
Austria;2020;BEV;0,0087
Austria;2021;BEV;0,0149
Austria;2022;BEV;0,0214
Austria;2023;BEV;0,03
Austria;2008;G-PHEV;0
Austria;2009;G-PHEV;0
Austria;2010;G-PHEV;0
Austria;2011;G-PHEV;0
Austria;2012;G-PHEV;0
Austria;2013;G-PHEV;0,0001
Austria;2014;G-PHEV;0,0002
Austria;2015;G-PHEV;0,0003
Austria;2016;G-PHEV;0,0005
Austria;2017;G-PHEV;0,0008
Austria;2018;G-PHEV;0,0011
Austria;2019;G-PHEV;0,0016
Austria;2020;G-PHEV;0,003
Austria;2021;G-PHEV;0,0057
Austria;2022;G-PHEV;0,0082
Austria;2023;G-PHEV;0,0113
Belgium;2008;BEV;0
Belgium;2009;BEV;0
Belgium;2010;BEV;0
Belgium;2011;BEV;0,0001
Belgium;2012;BEV;0,0002
Belgium;2013;BEV;0,0002
Belgium;2014;BEV;0,0003
Belgium;2015;BEV;0,0005
Belgium;2016;BEV;0,0008
Belgium;2017;BEV;0,0015
Belgium;2018;BEV;0,0016
Belgium;2019;BEV;0,0026
Belgium;2020;BEV;0,0041
Belgium;2021;BEV;0,0069
Belgium;2022;BEV;0,012
Belgium;2023;BEV;0,026
Belgium;2008;G-PHEV;0
Belgium;2009;G-PHEV;0
Belgium;2010;G-PHEV;0
Belgium;2011;G-PHEV;0
Belgium;2012;G-PHEV;0,0001
Belgium;2013;G-PHEV;0,0001
Belgium;2014;G-PHEV;0,0002
Belgium;2015;G-PHEV;0,0007
Belgium;2016;G-PHEV;0,002
Belgium;2017;G-PHEV;0,0038
Belgium;2018;G-PHEV;0,0056
Belgium;2019;G-PHEV;0,0071
Belgium;2020;G-PHEV;0,0127
Belgium;2021;G-PHEV;0,0208
Belgium;2022;G-PHEV;0,0308
Belgium;2023;G-PHEV;0,0443
Bulgaria;2008;BEV;0
Bulgaria;2009;BEV;0
Bulgaria;2010;BEV;0
Bulgaria;2011;BEV;0
Bulgaria;2012;BEV;0
Bulgaria;2013;BEV;0
Bulgaria;2014;BEV;0
Bulgaria;2015;BEV;0,0001
Bulgaria;2016;BEV;0,0001
Bulgaria;2017;BEV;0,0001
Bulgaria;2018;BEV;0,0003
Bulgaria;2019;BEV;0,0004
Bulgaria;2020;BEV;0,0005
Bulgaria;2021;BEV;0,0012
Bulgaria;2022;BEV;0,0016
Bulgaria;2023;BEV;0,0019
Bulgaria;2008;G-PHEV;0
Bulgaria;2009;G-PHEV;0
Bulgaria;2010;G-PHEV;0
Bulgaria;2011;G-PHEV;0
Bulgaria;2012;G-PHEV;0
Bulgaria;2013;G-PHEV;0
Bulgaria;2014;G-PHEV;0
Bulgaria;2015;G-PHEV;0
Bulgaria;2016;G-PHEV;0
Bulgaria;2017;G-PHEV;0
Bulgaria;2018;G-PHEV;0,0001
Bulgaria;2019;G-PHEV;0,0002
Bulgaria;2020;G-PHEV;0,0003
Bulgaria;2021;G-PHEV;0,0005
Bulgaria;2022;G-PHEV;0,0007
