geo country;time;new vehicle registrations
Austria;1970;277954,0
Austria;1971;278845,0
Austria;1972;280444,0
Austria;1973;282105,0
Austria;1974;283570,0
Austria;1975;283068,0
Austria;1976;282068,0
Austria;1977;282071,0
Austria;1978;282285,0
Austria;1979;281614,0
Austria;1980;281324,0
Austria;1981;281615,0
Austria;1982;282762,0
Austria;1983;282020,0
Austria;1984;281850,0
Austria;1985;281984,0
Austria;1986;282115,0
Austria;1987;282343,0
Austria;1988;282472,0
Austria;1989;276065,0
Austria;1990;288636,0
Austria;1991;303723,0
Austria;1992;320094,0
Austria;1993;285162,0
Austria;1994;273663,0
Austria;1995;279610,0
Austria;1996;307671,0
Austria;1997;275001,0
Austria;1998;295865,0
Austria;1999;314182,0
Austria;2000;309427,0
Austria;2001;293528,0
Austria;2002;279493,0
Austria;2003;300121,0
Austria;2004;311292,0
Austria;2005;309943,0
Austria;2006;308594,0
Austria;2007;298182,0
Austria;2008;293697,0
Austria;2009;319403,0
Austria;2010;328563,0
Austria;2011;356145,0
Austria;2012;336010,0
Austria;2013;319035,0
Austria;2014;303318,0
Austria;2015;308555,0
Austria;2016;329604,0
Austria;2017;353320,0
Austria;2018;341068,0
Austria;2019;329363,0
Austria;2020;248740,0
Austria;2021;239803,0
Belgium;1970;295701,0
Belgium;1971;308140,0
Belgium;1972;320579,0
Belgium;1973;333018,0
Belgium;1974;345457,0
Belgium;1975;357897,0
Belgium;1976;374340,0
Belgium;1977;390783,0
Belgium;1978;407226,0
Belgium;1979;423668,0
Belgium;1980;401611,0
Belgium;1981;352613,0
Belgium;1982;346303,0
Belgium;1983;341243,0
Belgium;1984;354051,0
Belgium;1985;361948,0
Belgium;1986;397156,0
Belgium;1987;408879,0
Belgium;1988;430520,0
Belgium;1989;443963,0
Belgium;1990;478219,0
Belgium;1991;462125,0
Belgium;1992;466195,0
Belgium;1993;375409,0
Belgium;1994;387348,0
Belgium;1995;358868,0
Belgium;1996;397359,0
Belgium;1997;396240,0
Belgium;1998;452129,0
Belgium;1999;489621,0
Belgium;2000;515204,0
Belgium;2001;488683,0
Belgium;2002;467569,0
Belgium;2003;458796,0
Belgium;2004;484757,0
Belgium;2005;480088,0
Belgium;2006;526141,0
Belgium;2007;524795,0
Belgium;2008;535947,0
Belgium;2009;476164,0
Belgium;2010;547347,0
Belgium;2011;572211,0
Belgium;2012;486737,0
Belgium;2013;486065,0
Belgium;2014;482939,0
Belgium;2015;501066,0
Belgium;2016;539519,0
Belgium;2017;546558,0
Belgium;2018;549632,0
Belgium;2019;550003,0
Belgium;2020;431491,0
Belgium;2021;383123,0
Bulgaria;1970;30399,0
Bulgaria;1971;30581,0
Bulgaria;1972;30735,0
Bulgaria;1973;30867,0
Bulgaria;1974;31057,0
Bulgaria;1975;31282,0
Bulgaria;1976;31359,0
Bulgaria;1977;31554,0
Bulgaria;1978;31686,0
Bulgaria;1979;31624,0
Bulgaria;1980;31771,0
Bulgaria;1981;31880,0
Bulgaria;1982;31984,0
Bulgaria;1983;32069,0
Bulgaria;1984;32144,0
Bulgaria;1985;32220,0
Bulgaria;1986;32143,0
Bulgaria;1987;32203,0
Bulgaria;1988;32238,0
Bulgaria;1989;32275,0
Bulgaria;1990;31487,0
Bulgaria;1991;31135,0
Bulgaria;1992;30870,0
Bulgaria;1993;30473,0
Bulgaria;1994;30383,0
Bulgaria;1995;30267,0
Bulgaria;1996;30113,0
Bulgaria;1997;29956,0
Bulgaria;1998;29749,0
Bulgaria;1999;29559,0
Bulgaria;2000;29417,0
Bulgaria;2001;29268,0
Bulgaria;2002;28260,0
Bulgaria;2003;28033,0
Bulgaria;2004;27816,0
Bulgaria;2005;27613,0
Bulgaria;2006;32481,0
Bulgaria;2007;41042,0
Bulgaria;2008;43758,0
Bulgaria;2009;24972,0
Bulgaria;2010;15646,0
Bulgaria;2011;19252,0
Bulgaria;2012;20986,0
Bulgaria;2013;20718,0
Bulgaria;2014;21186,0
Bulgaria;2015;24256,0
Bulgaria;2016;28216,0
Bulgaria;2017;33265,0
Bulgaria;2018;37506,0
Bulgaria;2019;39419,0
Bulgaria;2020;27214,0
Bulgaria;2021;24631,0
Cyprus;1970;13051,0
Cyprus;1971;13155,0
Cyprus;1972;13287,0
Cyprus;1973;13472,0
Cyprus;1974;13601,0
Cyprus;1975;10784,0
Cyprus;1976;10617,0
Cyprus;1977;10611,0
Cyprus;1978;10620,0
Cyprus;1979;10690,0
Cyprus;1980;10786,0
Cyprus;1981;10925,0
Cyprus;1982;11149,0
Cyprus;1983;11187,0
Cyprus;1984;11334,0
Cyprus;1985;11481,0
Cyprus;1986;11613,0
Cyprus;1987;11747,0
Cyprus;1988;11869,0
Cyprus;1989;11999,0
Cyprus;1990;12212,0
Cyprus;1991;12521,0
Cyprus;1992;12860,0
Cyprus;1993;13205,0
Cyprus;1994;13497,0
Cyprus;1995;13763,0
Cyprus;1996;13996,0
Cyprus;1997;14209,0
Cyprus;1998;14399,0
Cyprus;1999;14562,0
Cyprus;2000;14725,0
Cyprus;2001;14875,0
Cyprus;2002;15045,0
Cyprus;2003;9145,0
Cyprus;2004;19650,0
Cyprus;2005;19210,0
Cyprus;2006;20344,0
Cyprus;2007;25107,0
Cyprus;2008;24213,0
Cyprus;2009;15945,0
Cyprus;2010;15062,0
Cyprus;2011;14665,0
Cyprus;2012;10967,0
Cyprus;2013;7047,0
Cyprus;2014;8271,0
Cyprus;2015;10078,0
Cyprus;2016;12468,0
Cyprus;2017;13118,0
Cyprus;2018;13126,0
Cyprus;2019;12601,0
Cyprus;2020;9995,0
Cyprus;2021;10611,0
Czech Republic;1970;131276,0
Czech Republic;1971;129993,0
Czech Republic;1972;130448,0
Czech Republic;1973;131075,0
Czech Republic;1974;131896,0
Czech Republic;1975;132829,0
Czech Republic;1976;133755,0
Czech Republic;1977;134614,0
Czech Republic;1978;135367,0
Czech Republic;1979;136080,0
Czech Republic;1980;136699,0
Czech Republic;1981;136395,0
Czech Republic;1982;136603,0
Czech Republic;1983;136772,0
Czech Republic;1984;136843,0
Czech Republic;1985;136940,0
Czech Republic;1986;137026,0
Czech Republic;1987;137076,0
